,model,version,channels,beta,init,num_unique,num_valid,num_valid_unique,frac_unique,frac_valid,frac_valid_unique,frac_valid_atoms,frac_valid_H,frac_valid_C,frac_valid_N,frac_valid_O,frac_valid_F,js_divergence,H,C,N,O,F,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,CC_0.0,CC_0.5,CC_1.0,CC_1.5,CC_2.0,CC_2.5,CC_3.0,CC_3.5,CC_4.0,CC_4.5,CC_5.0,CC_5.5,CC_6.0,CC_6.5,CC_7.0,CC_7.5,CC_8.0,CC_8.5,CC_9.0,CC_9.5,CC_10.0,CC_10.5,CC_11.0,CC_11.5,CC_12.0,CC_12.5,CC_13.0,CC_13.5,CC_14.0,CC_14.5,CH_0.0,CH_0.5,CH_1.0,CH_1.5,CH_2.0,CH_2.5,CH_3.0,CH_3.5,CH_4.0,CH_4.5,CH_5.0,CH_5.5,CH_6.0,CH_6.5,CH_7.0,CH_7.5,CH_8.0,CH_8.5,CH_9.0,CH_9.5,CH_10.0,CH_10.5,CH_11.0,CH_11.5,CH_12.0,CH_12.5,CH_13.0,CH_13.5,CH_14.0,CH_14.5,CO_0.0,CO_0.5,CO_1.0,CO_1.5,CO_2.0,CO_2.5,CO_3.0,CO_3.5,CO_4.0,CO_4.5,CO_5.0,CO_5.5,CO_6.0,CO_6.5,CO_7.0,CO_7.5,CO_8.0,CO_8.5,CO_9.0,CO_9.5,CO_10.0,CO_10.5,CO_11.0,CO_11.5,CO_12.0,CO_12.5,CO_13.0,CO_13.5,CO_14.0,CO_14.5
0,nequip,6,32,1,CH3,64,0,0,1.0,0.0,0.0,0.5203816131830009,0.8755555555555555,0.20040899795501022,0.4233576642335766,0.6493506493506493,,0.02115939172666096,450,489,137,77,0,161,361,1304,1166,1610,1414,1290,1035,883,628,418,271,170,115,81,66,27,15,8,4,3,2,1,0,0,0,0,0,0,0,81,89,221,300,314,317,224,165,96,89,57,24,16,5,6,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,22,125,526,282,424,486,495,320,338,228,155,104,65,51,31,30,11,4,4,2,0,2,0,0,0,0,0,0,0,0,4,33,118,54,89,69,72,74,47,34,21,16,7,10,2,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0
1,nequip,6,32,1,C6H5,50,7,7,0.78125,0.109375,0.109375,0.6676891615541922,0.9219143576826196,0.48789571694599626,0.3333333333333333,0.782608695652174,,0.011553312647562621,482,636,24,34,0,110,179,1196,491,2073,1152,1287,1128,917,934,556,386,255,127,62,29,6,6,1,0,0,0,0,0,0,0,0,0,0,0,45,75,562,229,635,481,206,335,227,145,121,50,43,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,61,518,157,922,440,930,554,288,434,255,142,114,58,31,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,40,9,48,39,21,33,43,35,33,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,nequip,6,32,10,CH3,61,5,5,0.953125,0.078125,0.078125,0.7017208413001912,0.958997722095672,0.4132231404958678,0.5955882352941176,0.7592592592592593,,0.009664493473096865,454,372,139,114,0,86,144,1128,717,1445,1127,1168,1004,842,634,470,337,201,138,55,30,13,3,5,0,0,0,0,0,0,0,0,0,0,0,36,29,114,131,193,183,100,116,61,68,30,33,13,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,36,450,141,284,403,467,232,277,176,154,103,64,51,13,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,156,38,83,99,98,91,39,41,18,27,7,6,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,nequip,6,32,10,C6H5,30,12,12,0.46875,0.1875,0.1875,0.7883683360258481,0.958041958041958,0.6317567567567568,0.5714285714285714,0.8260869565217391,,0.009392146536647548,549,539,15,37,0,47,64,1141,384,2023,1034,1269,1024,941,1008,509,392,195,72,63,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,468,122,539,339,99,220,153,90,49,22,17,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,571,55,932,449,960,520,347,494,179,117,85,24,27,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,51,4,37,32,39,37,45,51,22,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,nequip,6,32,100,CH3,60,4,4,0.9375,0.0625,0.0625,0.8314144736842105,0.9771528998242531,0.5910290237467019,0.7961165048543689,0.9030303030303031,,0.02370668102196738,595,397,113,170,0,37,120,1228,653,1832,1210,1479,986,1160,909,847,700,683,346,223,148,79,32,15,6,0,2,0,0,0,0,0,0,0,0,10,12,94,78,204,198,96,60,91,109,95,46,38,11,11,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,11,41,529,100,416,491,610,167,242,268,315,238,177,106,72,33,18,8,4,2,0,0,0,0,0,0,0,0,0,0,3,9,234,22,111,118,147,116,73,58,91,35,21,16,8,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
5,nequip,6,32,100,C6H5,6,1,1,0.09375,0.015625,0.015625,0.7723577235772358,0.9649122807017544,0.6271186440677966,0.2,1.0,,0.01995501959846832,521,465,5,2,0,5,11,1000,254,1729,674,1019,714,578,785,330,228,17,11,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,454,25,521,223,18,146,78,13,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,527,13,861,345,864,411,220,467,80,15,7,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,7,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,nequip,6,32,1000,CH3,64,0,0,1.0,0.0,0.0,0.9319620253164557,0.996969696969697,0.7696969696969697,0.9512195121951219,0.9791666666666666,,0.02855394140433021,660,330,82,192,0,6,76,1096,580,1912,1094,1423,705,938,955,961,701,872,305,182,62,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,64,132,142,64,0,16,122,88,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,64,420,362,546,134,120,214,404,272,171,95,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,256,0,132,134,128,74,64,64,128,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,nequip,6,32,1000,C6H5,1,1,1,0.015625,0.015625,0.015625,1.0,1.0,1.0,,,,0.03011224001795182,512,448,0,0,0,0,0,960,192,1664,590,946,640,512,718,306,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,512,192,0,128,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,832,320,832,384,192,448,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,nequip,6,64,1,CH3,64,4,4,1.0,0.0625,0.0625,0.6769383697813122,0.9302325581395349,0.40057636887608067,0.539568345323741,0.7444444444444445,,0.012005985164229457,430,347,139,90,0,56,171,958,705,1275,1046,1069,867,690,435,294,150,103,59,42,35,14,9,4,1,0,0,0,0,0,0,0,0,0,0,14,28,103,124,195,170,71,90,39,30,14,7,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,385,128,336,368,426,226,185,130,84,47,23,11,13,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,15,100,32,77,72,64,61,28,36,10,4,6,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,nequip,6,64,1,C6H5,61,11,11,0.953125,0.171875,0.171875,0.7557677008750995,0.9607843137254902,0.6116838487972509,0.29545454545454547,0.6,,0.011798869865240605,579,603,44,73,0,52,196,1306,612,2295,1403,1552,1265,1145,1154,708,571,400,221,149,74,49,20,11,9,4,1,1,0,0,0,0,0,0,0,10,33,485,177,535,473,149,261,180,136,118,47,34,24,11,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,18,61,574,149,1022,509,1017,573,384,503,281,172,159,83,45,21,18,6,1,1,1,0,0,0,0,0,0,0,0,0,3,14,74,48,75,79,68,76,65,67,47,28,22,13,6,9,1,6,2,1,2,0,0,0,0,0,0,0,0,0
